State Name,Status Known For
Andaman & Nicobar Islands,Status Known For 1 out of 1 Constituencies
Andhra Pradesh,Status Known For 25 out of 25 Constituencies
Chandigarh,Status Known For 1 out of 1 Constituencies
Arunachal Pradesh,Status Known For 2 out of 2 Constituencies
Dadra & Nagar Haveli and Daman & Diu,Status Known For 2 out of 2 Constituencies
Assam,Status Known For 14 out of 14 Constituencies
Bihar,Status Known For 40 out of 40 Constituencies
NCT OF Delhi,Status Known For 7 out of 7 Constituencies
Goa,Status Known For 2 out of 2 Constituencies
Lakshadweep,Status Known For 1 out of 1 Constituencies
Gujarat,Status Known For 26 out of 26 Constituencies
Puducherry,Status Known For 1 out of 1 Constituencies
Haryana,Status Known For 10 out of 10 Constituencies
Jammu and Kashmir,Status Known For 5 out of 5 Constituencies
Himachal Pradesh,Status Known For 4 out of 4 Constituencies
Ladakh,Status Known For 1 out of 1 Constituencies
Karnataka,Status Known For 28 out of 28 Constituencies
Kerala,Status Known For 20 out of 20 Constituencies
Madhya Pradesh,Status Known For 29 out of 29 Constituencies
Maharashtra,Status Known For 48 out of 48 Constituencies
Manipur,Status Known For 2 out of 2 Constituencies
Meghalaya,Status Known For 2 out of 2 Constituencies
Mizoram,Status Known For 1 out of 1 Constituencies
Nagaland,Status Known For 1 out of 1 Constituencies
Odisha,Status Known For 21 out of 21 Constituencies
Punjab,Status Known For 13 out of 13 Constituencies
Rajasthan,Status Known For 25 out of 25 Constituencies
Sikkim,Status Known For 1 out of 1 Constituencies
Tamil Nadu,Status Known For 39 out of 39 Constituencies
Tripura,Status Known For 2 out of 2 Constituencies
Uttar Pradesh,Status Known For 80 out of 80 Constituencies
West Bengal,Status Known For 42 out of 42 Constituencies
Chhattisgarh,Status Known For 11 out of 11 Constituencies
Jharkhand,Status Known For 14 out of 14 Constituencies
Uttarakhand,Status Known For 5 out of 5 Constituencies
Telangana,Status Known For 17 out of 17 Constituencies
