element_index,article_index,span1,span2,span3,span4,span5,span6,time1,time2,time3,time4,time5,time6
0,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
0,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
0,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
1,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
1,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
1,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
7,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
7,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
7,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
73,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
73,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
73,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
74,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
74,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
74,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
75,0,Vineet Vats Tyagi (Modi Ka Parivar),Vineet Vats Tyagi (Modi Ka Parivar),,@vineetvatstyagi,·,𝐄𝐧𝐬𝐮𝐫𝐢𝐧𝐠 𝐒𝐚𝐟𝐞 𝐓𝐫𝐚𝐢𝐧 𝐓𝐫𝐚𝐯𝐞𝐥 𝐰𝐢𝐭𝐡 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐒𝐢𝐠𝐧𝐚𝐥𝐥𝐢𝐧𝐠 𝐒𝐲𝐬𝐭𝐞𝐦𝐬!,,,,,,
75,1,Newsz Now,Newsz Now,,@NowNewsz,·,নয়াদিল্লি থেকে বারাণসীগামী বন্দে ভারত এক্সপ্রেস চালু হলো,,,,,,
75,2,Jodhpur Railways (UNOFFICIAL),Jodhpur Railways (UNOFFICIAL),,@jodhpurrailways,·,"22737/38 Secunderabad ⇄ Hisar SF Express on Electric Traction End to End !

1st train on JU-BKN-HSR section with Electric Locomotive",,,,,,
