span1,span2,span3,span4,span5,span6,span7,span8
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Indra,Indra,,@Indra2025,·,Indian,"Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
-",Indian
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
