index,text,date,year
1,"How BJP systematically dismantled Indian  Railways ?

First Step: In 2016, BJP Govt decided to merge the Railway Budget with Union Budget, ending a 92-year long practice of separate Railway Budget.

Due to this move, Railways has lost the special focus it received so far.",Apr 20,2024
2,"Railways Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors: 1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6.",Feb 19,2024
3,"Indian  Railways : 
50% concession for Senior Citizens are back again.

These concessions were stopped during Covid to discourage elderly people from travelling.

Modi's BJP is a party that cares for your well-being.",Apr 9,2024
4,Indian  Railways cuts ticket prices for passenger trains by 50%.,Mar 1,2024
5,"Railways Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors: 1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6.",Feb 19,2024
6,"The recent videos of Indian  railways seem to be a hit job 

Unfortunately over enthusiastic RW are falling for it and amplifying them 

We will never learn",Apr 19,2024
7,"If Indian  Railways deploy clean up marshals at all railway stations in Mumbai Metropolitan Region to fine people for spitting and littering on platforms and tracks, the revenue generated will be more than the ticket sales.

Bonus: Cleaner stations and less expenditure on cleaning",Apr 12,2024
8," Indian  Railways is gearing up for a 100-day plan post Lok Sabha polls 2024. 

- 24 hour ticket refund scheme.
- a ""Super app"" for passengers.
- Vande Bharat sleeper train launch.
- India's first vertical lift rail bridge.
- Launch of Udhampur-Baramuala rail link.",Apr 14,2024
9," Indian  Railways recorded the best ever performance in Freight Business, Total Revenue, Track laying in FY 2023-24.  @RailMinIndia  Total Revenue - 2.40 lakh crore
Track laying - 5,100 KM
Freight loading - 1500 MT+",Mar 16,2024
10,"Indian  Railways are slowly decreasing the number of sleeper and 3AC coaches.

Poor and Middle-Class Suffers the highest",Feb 11,2024
11,"Indian  Railways : 
50% concession for Senior Citizens are back again.

These concessions were stopped during Covid to discourage elderly people from travelling.

Modi's BJP is a party that cares for your well-being.",Apr 9,2024
12,Indian  Railways cuts ticket prices for passenger trains by 50%.,Mar 1,2024
13,"The recent videos of Indian  railways seem to be a hit job 

Unfortunately over enthusiastic RW are falling for it and amplifying them 

We will never learn",Apr 19,2024
14,Indian  Railways cuts ticket prices for passenger trains by 50%.,Mar 1,2024
15,"If Indian  Railways deploy clean up marshals at all railway stations in Mumbai Metropolitan Region to fine people for spitting and littering on platforms and tracks, the revenue generated will be more than the ticket sales.

Bonus: Cleaner stations and less expenditure on cleaning",Apr 12,2024
16," Indian  Railways is gearing up for a 100-day plan post Lok Sabha polls 2024. 

- 24 hour ticket refund scheme.
- a ""Super app"" for passengers.
- Vande Bharat sleeper train launch.
- India's first vertical lift rail bridge.
- Launch of Udhampur-Baramuala rail link.",Apr 14,2024
17," Indian  Railways recorded the best ever performance in Freight Business, Total Revenue, Track laying in FY 2023-24.  @RailMinIndia  Total Revenue - 2.40 lakh crore
Track laying - 5,100 KM
Freight loading - 1500 MT+",Mar 16,2024
18,"Indian  Railways are slowly decreasing the number of sleeper and 3AC coaches.

Poor and Middle-Class Suffers the highest",Feb 11,2024
19,"Indian  Railways : 
50% concession for Senior Citizens are back again.

These concessions were stopped during Covid to discourage elderly people from travelling.

Modi's BJP is a party that cares for your well-being.",Apr 9,2024
20,Indian  Railways cuts ticket prices for passenger trains by 50%.,Mar 1,2024
21,"Railways Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors: 1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6.",Feb 19,2024
