index,text,year,is_complaint_true,delay,crowding,expensive,derail,hygiene,management
1,Indian Railways gave them such power. See the discrimination. Harassing women is punishable offence but Harassing Men is not punishable offence.,2024,1,0,0,0,0,0,0
2,"Indian railways still face overcrowding and lack of affordable options. Sleeper and 3rd AC tickets remain scarce, forcing many to travel unsafely. Urgent need for more tracks and trains to meet demand.

#IHOIB #Bihar #IndianRailway",2024,1,0,1,0,0,0,1
3,"For months, 
@INCIndia
 has been raising the sorry state of Indian Railways under 10 years of Modi’s Anyay Kaal. The Mumbai Locals have been among the worst affected. 

A video from Thane Station on May 13, showing stampede-like conditions, lays bare the chronic underinvestment in",2024,1,0,1,0,0,0,1
4,"@RailMinIndia @AshwiniVaishnaw 
Bhārat talks about world class trains but can't maintain them on time other than Vande Bharat& Tejas.
Other trains are backbone of railway but no improvement on time.
09420-4hr late,standing 2 km away from Surat for approx 1hr & 5 others crossed it",2024,1,1,0,0,0,0,1
5,"The overall performance of #IndianRailways in punctuality is going from bad to worse. Not at all acceptable 
@AshwiniVaishnaw
 @RailMinIndia
 . Railway stations are not even equipped with fans which is most basic in this furnace of a country 
@PMOIndia",2024,1,1,0,0,0,0,0
6,"Rich influencers are getting paid to make videos showcasing the growth of Indian Railways under Narendra Modi in empty Vande Bharat trains. 

Meanwhile, common Indians are traveling like cattle in the sleeper coaches of Indian trains, still considering themselves fortunate to not",2024,1,0,1,0,0,0,1
7,"Indian railways

They don't want to improve  situations trains & platforms  coz they want to sell same as they sold many public enterprises 

This is systematic way to end reservations

From the taxes of middle-class people, India runs, but in returns—this?

Yesterday Mumbai",2024,1,0,0,0,0,0,1
8,"It's History in a #indianrailways that #VandeBharatExpress 6 Month's ago Trail Run Completed,
But 
@RailMinIndia
 shri 
@AshwiniVaishnaw
 holded The Extension File by Saying 
@JoshiPralhad
 It's My Home Town Train So Don't Signature on Extension File
@ANI
 @republic
 @aajtak
 @ABPNews",2024,1,0,0,0,0,0,0
9,"रेल मंत्रालय द्वारा भारत के अधिकतर स्टेशनो पर रेल नीर पानी जिसकी कीमत ₹15 वाले को ₹20 का बेचा जाता है 
रेलवे मंत्रालय व सरकार के सहयोग से ही ₹5 की अवैध कमाई रेल यात्रियों से की जा रही है
@RailMinIndia
 @RailwaySeva
 @NWRailways
 @ECRlyHJP",2024,1,0,0,1,0,0,0
10,"जिस वंदे भारत का ढिंढोरा मोदी सरकार और रेल मंत्री 
@AshwiniVaishnaw
 पीटते हैं 

वहाँ के हाल भी देख लीजिए,
महँगी टिकट और खाने का पैसे देने के बावज़ुद खाने की घटिया क्वालिटी दी जा रही है।

अब 
@RailMinIndia
 आएगी और कहेगी, कृपया हमारे PawPaw मोदी जी को बदनाम मत करिए।",2024,1,0,0,1,0,1,1
