index,text,year,is_complaint_true,delay,crowding,expensive,derail,hygiene,management
1,Indian Railways gave them such power. See the discrimination. Harassing women is punishable offence but Harassing Men is not punishable offence.,2024,1,0,0,0,0,0,0
2,"Why Indian Railways often show fewer seats available for booking compared to the total number of seats in the AC compartments. While the total seats in a 3AC compartment are 75, and with about 6 compartments the total comes to 450 seats. For booking typically range between 40-60.",2024,0,0,0,0,0,0,0
3,"Happy 52nd Birthday to Fastest Rajdhani Express in Indian Railways ""The Mumbai Rajdhani"" 
@WesternRly
 #indianrailways",2024,0,0,0,0,0,0,0
4,"ये वीडियो कहां की है .....???

मुझे तो बांग्लादेश की किसी ट्रेन की लग रही है ...!!!

बढ़िया है ,,,,
हमारे देश में ये हालात नहीं है .....!! हम सब तो वर्ल्ड क्लास फैसिलिटीज भोग रहे हैं ....!!

शुक्रिया  ज़रूर करते जाएगा Indian Railways का ...

#Iran",2024,0,0,0,0,0,0,0
5,"Mirzapur: जनता एक्सप्रेस की बोगी में मिला लावारिस बैग, अंदर पड़ा था महिला का सिर कटा शव 

#Mirzapur #UttarPradeshTimes #UttarPradesh #JantaExpress #IndianRailways #RailAccident 
@mirzapurpolice
 @IRCTCofficial
 @RailMinIndia",2024,0,0,0,0,0,0,0
6,"#DidYouKnow During the year 1855-56, when the rail line extended up to Raniganj, 100,000 tons of coal were transported from there to Calcutta, while by 1860, 50 collieries had started functioning, the production and transportation then increased to 282,000 tons. #IndianRailways",2024,0,0,0,0,0,0,0
7,"Omax Autos Ltd: (₹ 301 Cr)

Products: Components, Assemblies & Sub Assemblies,Frame & Bus Structure, Tools Fixtures, Heavy Fabrication, etc.
Utilized in: Passenger and commercial vehicles.
Clients: Tata Motors, Indian Railways, Alstom, Volvo Eicher.",2024,0,0,0,0,0,0,0
8,Nice to see the Kashmiri entrepreneurs and businessmen getting interested in working with #IndianRailways! #Kashmir #Investment,2024,0,0,0,0,0,0,0
9,"#DidYouKnow After the Government of India took over the management of East Indian Railway in 1925, it was organised into six divisions - Howrah, Asansol, Dinapore, known as lower divisions and Allahabad, Lucknow & Moradabad, known as the upper divisions. #IndianRailways #History",2024,0,0,0,0,0,0,0
10,"@ECRlyHJP
 @narendramodi
 @BJP4India
 @RailMinIndia
 @RailwaySeva
 
All credits goes to all of you. 
You all have made a great transformation in #indianRailways  in previous 10 years of Governance. ",2024,0,0,0,0,0,0,0
11,"नमो भारत ट्रेन को लेकर आई बड़ी खबर, दो घंटे बढ़ाया जाएगा परिचालन का समय

#NamoBharatTrain #IndianRailways",2024,0,0,0,0,0,0,0
12,Indian Railways: Evolving For The Future.,2024,0,0,0,0,0,0,0
13,Side lower is a best seat you can opt in Indian railways,2024,0,0,0,0,0,0,0
14,"An Indian Army aspirant from Bihar, who was selected but didn’t receive the joining letter, was seen distributing pamphlets of Congress guarantees among passengers of Indian railways. 

“Please read this, it’s Congress Manifesto, they have written about us, they will remove",2024,0,0,0,0,0,0,0
15,"पश्चिम मध्य रेल के भोपाल रेल्वे स्टेशन‌ पर स्काउट एवं गाइड के  सदस्यों द्वारा नि:शुल्क शीतल पेय जल उपलब्ध कराकर रेल यात्रियों को पेय जल की आपूर्ति सुनिश्चित की जा रही है।
#IndianRailways",2024,0,0,0,0,0,0,0
16,"ट्रेन की छत पर यात्रा करना,खतरनाक और जानलेवा है ओवर हेड वायरों में 25000 वोल्ट AC करंट प्रवाहित रहता है कृपया ऐसा ना करें #IndianRailways",2024,0,0,0,0,0,0,0
17,Beautiful yellow - the old Wallajah Road railway station! #IndianRailways #yellow,2024,0,0,0,0,0,0,0
18,"Imagine you are traveling in a Sleeper coach of Indian Railways with your family.

You have reserved your seat in advance or by paying hefty tatkal charges.

You have a wife, old parents, or kids with you in the journey.

Imagine them going to the washroom in a crowded reserved",2024,0,0,0,0,0,0,0
19,"रेल पटरी पार करने के लिए शॉर्टकट जोखिम भरा हो सकता है, इसके लिए फुट ओवर ब्रिज अथवा सब- वे का उपयोग करें, रेल नियमों का पालन करें।  #SafetyFirst #IndianRailways",2024,0,0,0,0,0,0,0
20,"Exciting news for travelers! Starting May 24, 2024, the 12353/12354 Howrah-Lalkua Express will have a permanent augmentation of 01 Third AC Economy coach. Plan your journey now! #TravelNews #IndianRailways",2024,0,0,0,0,0,0,0
21,"पश्चिम मध्य रेल के स्टेशनों पर, यात्रियों को स्वच्छ वातावरण प्रदान करने हेतु रेल प्रशासन द्वारा नियमित साफ़-सफाई कराई जा रही है l  इसी के तहत जबलपुर मंडल के रीवा स्टेशन को  साफ़ स्वच्छ रखने में  अपना योगदान देते सफाई कर्मी l 
#IndianRailways",2024,0,0,0,0,0,0,0
22,"J&K: Kashmir rail project: Srinagar- Reasi stretch completed, trial run by June end. Indian Railways is edging closer to connecting Kashmir Valley to the rest of the railway network in India. 
@airnewsalerts
 

Report : 
@devjmu",2024,0,0,0,0,0,0,0
23,"Smart facilities to travel with Indian Railways. 
#IndianRailways",2024,0,0,0,0,0,0,0
24,"संपादकीय : जीवघेणे अनधिकृत फलक !

अनुमती नसतांना होर्डिंग उभारून जनतेच्या जिवाशी खेळणार्‍यांना कारागृहात डांबणे आवश्यक !

#Editorial : https://sanatanprabhat.org/marathi/793869.html…

#IndianRailways
#MumbaiRains #BMC
#Ghatkoparhoarding Tragedy",2024,0,0,0,0,0,0,0
25,"This is how Banihal station looks during winter. By this year end, hopefully, the rest of the country would be able to directly access this route and go to Srinagar and even Baramulla. #IndianRailways #Kashmir",2024,0,0,0,0,0,0,0
26,"#UTSMobileApp लंबी लाइन में लगने के बजाय यू टी एस मोबाइल ऐप से अनारक्षित टिकट बुक करने का विकल्प चुनें, समय की बचत करें। #IndianRailways",2024,0,0,0,0,0,0,0
27,"On International Museum Day
Young Warriors from Tata Hospital join us for an exciting trip through railway history at the Heritage Museum, making memories and sparking inspiration for the future.

#internationmuseumday #Museumday #CentralRailway #railway #trending #indianrailways",2024,0,0,0,0,0,0,0
28," With #RPFOperationRailSuraksha, criminals who damage Railway property will be found & punished, no matter where they hide. Let's protect our Railways and ensure safe journeys for all!  #RailwaySafety #IndianRailways #SecureTravel",2024,0,0,0,0,0,0,0
29,"इस रूट पर कमाल करेगी वंदे भारत, हो रहा था इंतजार, अब आ गई खुशखबरी 

#IndianRailways #Vandebharat",2024,0,0,0,0,0,0,0
30,"जिसका था इंतजार, अब आ गई वह घड़ी; इस रूट पर कमाल करेगी वंदे भारत 

#IndianRailways #VandeBharat",2024,0,0,0,0,0,0,0
31,"यात्रीगण कृपया ध्यान दें !! विशेष सूचना !!  #IndianRailways 
@RailMinIndia
 @gmwcrailway
 @wc_railway
 @drmkota
 @drmjabalpur
 @AshwiniVaishnaw
 @DarshanaJardosh
 @raosahebdanve",2024,0,0,0,0,0,0,0
32,Enjoy hassle-free train travel with the #UTSApp. Purchase general tickets online for a smoother journey. #SwitchToOnline #TravelSmart #Trains #SouthernRailway #IndianRailways,2024,0,0,0,0,0,0,0
33,"Warangal: నిలిచిపోయిన కాగజ్‌నగర్‌, నవజీవన్‌ ఎక్స్‌ప్రెస్‌ రైళ్లు .. ప్రయాణికుల ఆందోళన
#Warangal #IndianRailways #TeluguNews",2024,0,0,0,0,0,0,0
34,"Only in #MumbaiRajdhani you can see food being served in hot case.

Both Mumbai and August Kranti Rajdhanis. 
@WesternRly
 @RailMinIndia
 

#IndianRailways #FirstClass",2024,0,0,0,0,0,0,0
35,The Indian railways given this power. Harassing women is punishable offence but Harassing Men is not punishable offence. That's our India  Where we were taught in school about discrimination which is wrong but in real it is just a myth.,2024,0,0,0,0,0,0,0
36,"गुड न्यूज: बिना लाइन में लगे घर बैठे बुक करें Train का जनरल टिकट, ये आसान तरीका   

#IndianRailways #Ticket",2024,0,0,0,0,0,0,0
37,"Namo Bharat के पैसेंजर्स को मिलेगी शॉपिंग-खानपान की सुविधा, NCRTC ने तैयार किया प्लान

#NamoBharatTrain #Shopping #IndianRailways",2024,0,0,0,0,0,0,0
38,"What if IRCTC refunds 1 rupee per each delayed minute after 30 minutes of delay threshold? Conditions apply!

Do you like it?

Highly ambitious design concept for 
@IRCTCofficial
 

Daily Design -> Day 15

#IRCTC #IndianRailways #ProductDesign #UIUX",2024,0,0,0,0,0,0,0
39,"Explore the majestic beauty of Muthalamada Railway Station with its lush greenery and mighty mountains.

Immerse yourself in the breathtaking beauty of nature at the station.

#drmpalakkad #Muthalamada #scenicview #IndianRailways #Southernrailway 
@GMSRailway
 @RailMinIndia",2024,0,0,0,0,0,0,0
40,"Shri Shobhan Chaudhuri, GM/ N.R visits USBRL Project in J&K
Read more-
http://railsamacharbureauald.com/railvishesh_details.php?id=3740…

#IndianRailways #BreakingNews‌ #UPDATED 
@RailwayNorthern
 @GM_NRly
 @RailMinIndia
 @RailwaySeva",2024,0,0,0,0,0,0,0
41,"महाप्रबंधक, पश्चिम मध्य रेल श्रीमती शोभना बंदोपाध्याय ने रविवार 19 मई 2024 को संत हिरदाराम नगर रेलवे स्टेशन पर अमृत स्टेशन योजना के अंतर्गत चल रहे विकास कार्यों का सघन निरीक्षण किया l   #IndianRailways",2024,0,0,0,0,0,0,0
42,Challenges Indian Railways faces: Indian Railways’ deft balancing act http://disq.us/t/4obzuqy,2024,0,0,0,0,0,0,0
43,"अयोध्या, हरिद्वार, कटरा...'भारत गौरव' ट्रेन 18 मई से होगी शुरू, जानें कितना है किराया 

#IndianRailways #India",2024,0,0,0,0,0,0,0
44,"ఇది ఇండియన్ రైల్వేల యొక్క,కొత్త ఆవిష్కరణ.*
*""ప్రీమియం కోచ్""*
*ICF, ఇంటిగ్రల్ కోచ్ ఫ్యాక్టరీ, చెన్నై వారు తయారు చేసారు.*
*That's the Indian Railways' latest , new ""Premium Coach"" Manufactured by ICF, Integral Coach Factory,  Chennai.*
#MadeInIndia #MakeInIndia 
#MODIfiedINDIA",2024,0,0,0,0,0,0,0
45,"ତୁ ଗରମ ଚା ମୁଁ କାଚ ଗିଲାସ ହେଲେ Indian Railways ପାଇଁ ପେପର୍ ଗିଲାସ ଆଉEco friendly ହେଇ କାମ ଚଳାଇବା ଆଉ , ଜୀବନ ହେଉ କି ରେଳଗାଡ଼ି 
ହଉ  ହେଲା ଆମ ଭାଗ୍ୟ",2024,0,0,0,0,0,0,0
46,"Indian railways still face overcrowding and lack of affordable options. Sleeper and 3rd AC tickets remain scarce, forcing many to travel unsafely. Urgent need for more tracks and trains to meet demand.

#IHOIB #Bihar #IndianRailway",2024,1,0,1,0,0,0,1
47,The beautiful view of the Kanchenjunga peak from Jalpaiguri station on a clear day!  #IndianRailways #mountains,2024,0,0,0,0,0,0,0
48,"ट्रेन में पढ़ी जाने वाली किताबे 
AC class - चेतन भगत,ओशो
Sleeper class -क्रिकेट सम्राट,सत्य कथा 
General class -  30 दिन में डॉक्टर कैसे बने,या चाय बोलो चाय सुनाई देता है।
#Indian_railways",2024,0,0,0,0,0,0,0
49,"The 3rd Viksit Bharat Viksit Mumbai Meet in Ghatkopar extensively explored India's advancements under PM Modi's leadership over the past decade.

With a special emphasis on the flourishing Indian Railways, expanding by 31,000 km in the last decade. Spearheaded by Union Minister",2024,0,0,0,0,0,0,0
50,"Amaaze max sunset view 

Courtesy: Indian Railways",2024,0,0,0,0,0,0,0
51,"खो ना जाएं ये  तारे ज़मी पर 

Under #OperationNanheFarishte
#RPF NR rescued  minors and handed over to Child line for Care and Protection. 
#ChildRescue
@AshwiniVaishnaw
 @RailMinIndia
 @RailwayNorthern
 @RPF_INDIA",2024,0,0,0,0,0,0,0
52,"प्रयागराज-बीकानेर ट्रेन को जैसलमेर तक विस्तारित करने का प्रस्ताव। 
फिर तो संगमनगरी से सीधी जुड़ जाएगी स्वर्णनगरी !
@RailMinIndia
 @NWRailways
 @GMNWRailway
 @DRMJodhpurNWR
 @drmbikaner
 @CPRONCR
 @drmncrald",2024,0,0,0,0,0,0,0
53,"#रायबरेली_ऊंचाहार उमरन निवासी एक दलाल के पास रेलवे टिकट की हर सुविधा उपलब्ध। कई जिलों के नेटवर्क का केन्द्र ऊंचाहार। दलाल के साथ रायबरेली आरपीएफ की भूमिका संदिग्ध। 
@RPF_INDIA
 @RailMinIndia
 @RailwaySeva
 @drm_lko
 @RailwayNorthern
 @rpfnr_
 @AshwiniVaishnaw",2024,0,0,0,0,0,0,0
54,"ரயில்களில் இருக்கும் 'Stripes' எதற்க்காக?
#train #southernrailways #indianrailways #trainfacts",2024,0,0,0,0,0,0,0
55,"रेलवे के दावे में नहीं रहा दम, श्रमिकों की बताई जा रही है समस्या। 
नवीनीकरण के काम की धीमी रफ्तार से यात्री परेशान। 
 
@RailMinIndia
 @NWRailways
 @GMNWRailway
 @drmbikaner",2024,0,0,0,0,0,0,0
56,Pleasures of traveling by Indian Railways' bullet train.,2024,0,0,0,0,0,0,0
57,"पश्चिम मध्य रेल में औसतन 300 से अधिक कोचों की प्रतिदिन  बाहरी  धुलाई की जा रही है जिससे पानी की बचत हो रही है l 
#IndianRailways",2024,0,0,0,0,0,0,0
58,"The sheer magic of the views offered by the railway landscape in the Dooars of North Bengal on a cloudy day with the hills in the background - near Odlabari station in the jurisdiction of 
@drm_apdj
 in 
@RailNf
! Pic courtesy, anonymous! #IndianRailways #trains #photography 
@nistula",2024,0,0,0,0,0,0,0
59,"An Indian Army aspirant from Bihar, was seen distributing pamphlets of Congress guarantees among passengers of Indian railways.

Please read this, it’s Congress Manifesto, they have written about us, they will remove Agniveer

Youth is with INC this time, Vote for Congress",2024,0,0,0,0,0,0,0
60,Flights are experiencing losses because Modi has started providing world-class services in Indian Railways!,2024,0,0,0,0,0,0,0
61,"Train-ல இவ்ளோ விஷயம் இருக்கா!

#Train | #IndianRailways | #Unreserved 
@GMSRailway
 | 
@iamradioguru",2024,0,0,0,0,0,0,0
62,"Mesmerizing rainy evenings on a speedy Konkan Railways ride!

#IndianRailways",2024,0,0,0,0,0,0,0
63,"""Transforming the rails: Indian Railways' shift to electric cars sparks a revolution in reducing emissions and promoting eco-friendly travel.""
@GMSRailway
 @RailMinIndia",2024,0,0,0,0,0,0,0
64,"Indian Railways (IR) network is growing at a healthy rate occupying a place of significance in the global railway market 
Find out how  @ #IRSW4.0 

Register  https://eepcvirtualexpo.com/conference_management/conference_registration/MzY/MTk…
Navigate  https://eepcvirtualexpo.com/railwaysourcing2024…
@MetroRailNewsHQ
 @RailAnalysis
 as media partners
@DoC_GoI",2024,0,0,0,0,0,0,0
65,"टूंडला स्टेशन के स्काउट एवं गाइड के कर्मठ स्वयंसेवकों द्वारा उत्तर मध्य रेलवे के टूंडला रेलवे स्टेशन पर जनरल कोच में यात्रा कर रहे रेल यात्रियों को निःशुल्क जल वितरण कर गर्मी में उनकी यात्रा सुखद करने का एक प्रयास किया जा रहा है। #SummerSpecial 
@drmncrald
 @CPRONCR
 @RailMinIndia",2024,0,0,0,0,0,0,0
66,"यह स्पेशल चाय 
@RailMinIndia
 (#रेलवेबोर्ड) के #CRB #MOBD #AM/T&C #ED/Ctg और #CMD/
@IRCTCofficial
 सहित सभी #CRM को विशेष रूप से पिलाई जाए!
यह वीडियो देखने के बाद #रेलयात्री ट्रेनों में #खानापीना बंद कर दें!
तभी शायद सुधरे रेल की #Catering व्यवस्था!
@PMOIndia
 @AshwiniVaishnaw
#DrArsh",2024,0,0,0,0,0,0,0
67,#जल_सेवा ग्रीष्मकाल के तहत पानी की अधिक आवश्यकता को देखते हुये भोपाल रेल मंडल के विभिन्न स्टेशनों पर समाजसेवी संस्थाओं एवं रेलवे कर्मचारियों के सहयोग से यात्रियों को निःशुल्क पेयजल वितरण कार्य किया जा रहा है। #IndianRailways,2024,0,0,0,0,0,0,0
68,"हमेशा वैध टिकट लेकर ही ट्रेनों में सफर करें। 
बनें एक जागरूक इंसान..
तभी बढ़ेगा हिन्दुस्तान!!
@RailMinIndia
 @ECRlyHJP
 #IndianRailways #SonpurDivision",2024,0,0,0,0,0,0,0
69,"Indian Railways' decade of advancement: A journey of progress and innovation
 https://infra.economictimes.indiatimes.com/news/railways/indian-railways-decade-of-advancement-a-journey-of-progress-and-innovation/110110815…

via NaMo App",2024,0,0,0,0,0,0,0
70,#KnowYourRailways Let’s find out about the classification of several gauges in Indian Railways.,2024,0,0,0,0,0,0,0
71,""" #RailwayUpdate: Starting May 20, 2024, 13025/13026 Howrah-Bhopal Express will have a permanent augmentation of 01 Third AC Economy coach. Enjoy a more comfortable journey! #TravelNews #IndianRailways""",2024,0,0,0,0,0,0,0
72,"Travel Smart and Safe! 

Please do not carry inflammable items like matchsticks, fireworks, lighters, gas cylinders, or kerosene on trains. Your safety is our priority. 

#SouthernRailway #TravelSafe #SafetyFirst #IndianRailways #TravelResponsibility",2024,0,0,0,0,0,0,0
73,Enjoy the glorious haven of Western Ghats with Indian Railways.,2024,0,0,0,0,0,0,0
74,"गर्मियों की छुटिटयों में यात्रियों की सुविधा हेतु  काचीगुडा-हिसार साप्ताहिक स्पेशल रेलसेवा दिनांक 02.05. से 27.06.24 तक 9 ट्रिप काचीगुडा से गुरूवार को 15.15 बजे रवाना होकर शनिवार को 11.15 बजे हिसार पहुॅचेगी 
@drmbikaner
@drm_lko
@Hemant_ITPro
@drm_lko
 
@NWRailways
 
@RailMinIndia",2024,0,0,0,0,0,0,0
75,"Don't Ever Do This  
Railways #accident Metro #AzadKashmir #MumbaiRain #Varanasi #1LakhKiLine #साथी_मुहिम #OpenAI #Kairaadavi Indian railways rules follow  #AnushkaSharma
 https://x.com/jyoti789singh//Jyoti789Singh/status/1790278241531637967/video/1…",2024,0,0,0,0,0,0,0
76,"Lets understand Indian Railways Value Chain !

Railway budget tells us about the huge focus on the sector by Government. 

In last 2 years huge developments has happened to cater the growing demand through new  Freight corridors, Electrification , Safety systems, Infrastructure",2024,0,0,0,0,0,0,0
77,"स्वच्छ रेल, स्वच्छ भारत ! ट्रेन और रेल परिसर को साफ-सुथरा रखने में सहयोग प्रदान करें, कचरा कूड़ेदान में डालें और स्वच्छ माहौल में मंगलमय यात्रा करें l  #Cleanliness #IndianRailways",2024,0,0,0,0,0,0,0
78,"Next stop, #Mumbai ! 

#KhandalaGhat #Pune #Mumbai #IndianRailways #VandeBharat",2024,0,0,0,0,0,0,0
79,यात्रियों से अनुरोध है कि बिना टिकट कभी भी रेल यात्रा न करें। यह दंडनीय है। सदैव रेल टिकट लेकर उचित श्रेणी में ही रेल यात्रा करें। #indianrailways,2024,0,0,0,0,0,0,0
80,"सतनाली स्टेशन पर बन रहे ओवरब्रिज का काम इसी माह पूरा होने की उम्मीद, ₹1.5 करोड़ आएगी लागत। 
जान जोखिम में डालकर पटरी पार करते हैं यात्री। 
@RailMinIndia
 @NWRailways
 @GMNWRailway
 @drmbikaner",2024,0,0,0,0,0,0,0
81,"रिफंड को लेकर रेलवे ने स्पष्ट किए नियम। 
रिफंड के लिए रिसिप्ट भरने के बाद यात्रा की तो बेटिकट माने जाएंगे। 
@RailMinIndia
 @NWRailways
 @GMNWRailway
 @DRMJodhpurNWR
 @DRMJaipur",2024,0,0,0,0,0,0,0
82,"#Add_Technical_Syllabus_In_RRB_JE_CBT1
Sir 
@AshwiniVaishnaw
 you want a technical student for a technical job (RRB_JE) but your exam pattern is exactly the opposite, firstly you are conducting a non tech exam instead of tech exam
@RRBKOLKATA
 
@RailMinIndia
 
@TruelyEngineers",2024,0,0,0,0,0,0,0
83,"रेल आते ही पुलिस लाइन फाटक पर लगती है वाहनों की कतार। 
ओवरब्रिज के सरियों के लगा का जंग, ज्यादा समय यूं ही रहेंगे तो होंगे कमजोर। 
@RailMinIndia
 @NWRailways
 @GMNWRailway
 @DRMJaipur
 @IR_CRB",2024,0,0,0,0,0,0,0
