index,text,year
1,"Took charge as Cabinet Minister of Railways today. Once again from the core of my heart, I extend my gratitude to Hon’ble PM 
@narendramodi
 ji for entrusting me this responsibility.
@RailMinIndia",2021
2,"Air, Rail, Road & Sea; Heaven & earth are being moved to overcome challenges thrown up by this wave of #COVID19

Salute #CovidWarriors expediting supply of oxygen tankers, concentrators, equipment & meds across borders
@PMOIndia
 @MoHFW_INDIA
 @MoCA_GoI
 @RailMinIndia
 @shipmin_india",2021
3,"Sneak Peek! 
Welcome to the new-age Pod retiring rooms by 
@RailMinIndia
 at Mumbai Central.",2021
4,"A Good Samaritan:

At Vangani station of Central Railway, Pointsman Mr. Mayur Shelkhe saved the life of a child just in the nick of the time. He risked his life to save the life of the child.

We salute his exemplary courage & utmost devotion to the duty.",2021
5,"@RailMinIndia
 @EastCoastRail
 @DRMSambalpur
 @DRMKhurdaRoad
 @serailwaykol
 @SCRailwayIndia",2021
6,"बधाई - झाँसी रेलवे स्टेशन का नाम परिवर्तन कर वीरांगना लक्ष्मी बाई रेलवे स्टेशन होगा ।
आज़ादी के अमृत महोत्सव में वीरांगना के चरणों में यह सच्ची श्रद्धांजलि है ।
भारत सरकार को हृदय से बधाई।
@PMOIndia
 
@narendramodi
 
@RailMinIndia",2021
7,"@RailMinIndia
 @AshwiniVaishnaw
 आपसे न हो पाएगा। Where is our 
@PiyushGoyal
  ji",2021
8,"@RailMinIndia
 @EastCoastRail
 @DRMSambalpur
 @DRMKhurdaRoad
 @serailwaykol
 @SCRailwayIndia
                                                 Special trains by ECoR between Visakhapatnam- Secunderabad to clear rush during festive season.",2021
9,"आपके परेशानी का समाधान.
यात्रीगण कृपया शांती बनाएं रखे.",2021
10,"@IRCTCofficial
 @RailwaySeva
 @RailMinIndia
 pic.1) amount credited, wheras pic.2) amount refund but why isn't yet credited sir",2021
11,"निष्ठा पुरी को मिलेगा रेल मंत्री अवॉर्ड

इंडियन रेलवे अकाउंट्स सर्विस 2004 बैच की अधिकारी हैं निष्ठा पुरी, पुरी ने हिंदी निबंध प्रतियोगिता में पूरे देश में पहला स्थान किया हासिल...
@NWRailways
 @RailMinIndia
 @kashiram_journo",2021
